City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
235,Port Hedland,AU,73.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
236,Iranshahr,IR,84.79,overcast clouds,27.2025,60.6848,نیک سرشت
237,Mogadishu,SO,75.74,light rain,2.0371,45.3438,Hotel Juba
241,North Platte,US,76.12,broken clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
243,Ankang,CN,80.13,clear sky,32.68,109.0172,安琪酒店
245,Broome,US,73.71,clear sky,42.2506,-75.833,Chenango Valley State Park
247,Basoko,CD,70.18,overcast clouds,1.2391,23.616,Jackyna Hotel
249,Koumac,NC,72.75,broken clouds,-20.5667,164.2833,Le Monitel
250,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,Hotel Kununurra
252,Katobu,ID,81.75,overcast clouds,-4.9408,122.5276,La Ode Husein
253,San Quintin,MX,70.93,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
255,Brookhaven,US,77.25,overcast clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
258,Lingdong,CN,81.25,overcast clouds,46.5669,131.1453,Shengtianyuan Hotel
259,Chunhuhub,MX,83.3,few clouds,19.55,-88.6833,
260,Minab,IR,84.52,overcast clouds,27.1467,57.0801,Bam campground
262,Puerto Ayacucho,VE,73.76,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
263,Neyshabur,IR,77.85,few clouds,36.2133,58.7958,Amiran Hotel & Commercial Complex
269,Ararat,AM,79.14,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
272,Itarema,BR,78.73,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
274,Bardiyah,LY,76.93,clear sky,31.7561,25.0865,بورتو بردية
278,Pomezia,IT,77.41,clear sky,41.667,12.5052,SHG Hotel Antonella
279,Hamilton,US,81.84,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
284,Toktogul,KG,71.55,clear sky,41.8708,72.9402,KAGAN
